User Name,First Name,Last Name,Display Name,Job Title,Department,Office Number,Office Phone,Mobile Phone,Fax,Address,City,State or Province,ZIP or Postal Code,Country or Region
student1@pbi2020dec.onmicrosoft.com,Student1,Ddls,Student1,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student2@pbi2020dec.onmicrosoft.com,Student2,Ddls,Student2,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student3@pbi2020dec.onmicrosoft.com,Student3,Ddls,Student3,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student4@pbi2020dec.onmicrosoft.com,Student4,Ddls,Student4,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student5@pbi2020dec.onmicrosoft.com,Student5,Ddls,Student5,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student6@pbi2020dec.onmicrosoft.com,Student6,Ddls,Student6,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student7@pbi2020dec.onmicrosoft.com,Student7,Ddls,Student7,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student8@pbi2020dec.onmicrosoft.com,Student8,Ddls,Student8,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student9@pbi2020dec.onmicrosoft.com,Student9,Ddls,Student9,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student10@pbi2020dec.onmicrosoft.com,Student10,Ddls,Student10,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student11@pbi2020dec.onmicrosoft.com,Student11,Ddls,Student11,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student12@pbi2020dec.onmicrosoft.com,Student12,Ddls,Student12,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student13@pbi2020dec.onmicrosoft.com,Student13,Ddls,Student13,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student14@pbi2020dec.onmicrosoft.com,Student14,Ddls,Student14,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student15@pbi2020dec.onmicrosoft.com,Student15,Ddls,Student15,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student16@pbi2020dec.onmicrosoft.com,Student16,Ddls,Student16,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student17@pbi2020dec.onmicrosoft.com,Student17,Ddls,Student17,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student18@pbi2020dec.onmicrosoft.com,Student18,Ddls,Student18,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student19@pbi2020dec.onmicrosoft.com,Student19,Ddls,Student19,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student20@pbi2020dec.onmicrosoft.com,Student20,Ddls,Student20,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student21@pbi2020dec.onmicrosoft.com,Student21,Ddls,Student21,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student22@pbi2020dec.onmicrosoft.com,Student22,Ddls,Student22,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student23@pbi2020dec.onmicrosoft.com,Student23,Ddls,Student23,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
student24@pbi2020dec.onmicrosoft.com,Student24,Ddls,Student24,Student,Training,123,123-555-1211,123-555-6641,123-555-9821,477 Pitt Street,Sydney,NSW,2000,Australia
